Provider,State,Weight,Technology,Download Bandwidth Mbps,Upload Bandwidth Mbps,Usage Allowance GB,Monthly Charge,Other Mandatory Charge,Surcharge,Total Charge,Total Charge Spread,Model Data,,,,
Matanuska Telephone Association Inc.,ALASKA,10592.06667,DSL,20,2,300,88.99,0,0,88.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,15888.1,DSL,20,6,Inf,128.99,0,0,128.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7944.05,DSL,18,2,Inf,89.99,0,0,89.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,10592.06667,DSL,75,15,Inf,148.99,0,0,148.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,528,Fixed wireless,15,15,450,130,0,0,130,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,40,8,Inf,89.99,0,0,89.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,528,Fixed wireless,5,5,150,55,0,0,55,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,528,Fixed wireless,7,7,210,75,0,0,75,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7944.05,DSL,15,1,Inf,89.99,0,0,89.99,0,Yes,,,,
"AlasConnect, LLC",ALASKA,464,Fixed wireless,4,1,Inf,105,0,0,105,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,25,2,Inf,89.99,0,0,89.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,10592.06667,DSL,15,2,300,88.99,0,0,88.99,0,Yes,,,,
"AlasConnect, LLC",ALASKA,390.6666667,Fixed wireless,3,0.512,Inf,85,0,0,85,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,10,10,300,99,0,0,99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,15,15,450,130,0,0,130,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,5296.033333,FTTH,20,6,300,88.99,0,0,88.99,0,Yes,,,,
"AlasConnect, LLC",ALASKA,390.6666667,Fixed wireless,2,0.512,Inf,65,0,0,65,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,528,Fixed wireless,20,20,500,150,0,0,150,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,15888.1,DSL,10,2,150,59.99,0,0,59.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,21184.13333,DSL,40,8,Inf,148.99,0,0,148.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,50,10,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,10,1,Inf,89.99,0,0,89.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,31776.2,FTTH,1000,100,Inf,168.99,0,0,168.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,10592.06667,FTTH,75,15,Inf,148.99,0,0,148.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,30,30,1000,170,0,0,170,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7944.05,DSL,25,2,Inf,89.99,0,0,89.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,5,5,150,55,0,0,55,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,10592.06667,DSL,15,3,300,88.99,0,0,88.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,5296.033333,DSL,20,6,300,88.99,0,0,88.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,528,Fixed wireless,3,3,90,40,0,0,40,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,3,3,90,40,0,0,40,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,15888.1,FTTH,10,2,Inf,98.99,0,0,98.99,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,400,20,600,149.99,0,0,149.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,21184.13333,DSL,5,2,150,44.99,0,0,44.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,50,10,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7944.05,DSL,50,10,Inf,89.99,0,0,89.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,63552.4,DSL,5,2,Inf,83.89,0,0,83.89,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,7,1,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,7944.05,DSL,7,1,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,10,1,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,15,1,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,15,1,Inf,89.99,0,0,89.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,10592.06667,DSL,20,3,300,88.99,0,0,88.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,528,Fixed wireless,10,10,300,99,0,0,99,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,100,5,150,74.99,0,0,74.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,5,5,150,55,0,0,55,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,40,8,Inf,89.99,0,0,89.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,21184.13333,DSL,5,0.768,150,44.99,0,0,44.99,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,21184.13333,DSL,5,1,150,44.99,0,0,44.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,3,3,90,40,0,0,40,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,7,1,Inf,89.99,0,0,89.99,0,Yes,,,,
"AlasConnect, LLC",ALASKA,464,Fixed wireless,3,0.512,Inf,85,0,0,85,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,20,20,500,150,0,0,150,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,7,7,210,75,0,0,75,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,7,7,210,75,0,0,75,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,18,2,Inf,89.99,0,0,89.99,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,1000,50,Inf,174.99,0,0,174.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,30,6,Inf,89.99,0,0,89.99,0,Yes,,,,
"AlasConnect, LLC",ALASKA,464,Fixed wireless,2,0.512,Inf,65,0,0,65,0,Yes,,,,
Matanuska Telephone Association Inc.,ALASKA,15888.1,FTTH,10,2,150,59.99,0,0,59.99,0,Yes,,,,
Borealis Broadband Inc.,ALASKA,390.6666667,Fixed wireless,30,30,1000,170,0,0,170,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,200,10,400,99.99,0,0,99.99,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,400,20,600,149.99,0,0,149.99,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,200,10,400,99.99,0,0,99.99,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,1000,50,Inf,174.99,0,0,174.99,0,Yes,,,,
GCI Communication Corp.,ALASKA,63552.4,Cable,100,5,150,74.99,0,0,74.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,25,2,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,Fixed wireless,30,6,Inf,89.99,0,0,89.99,0,Yes,,,,
"ALASKA COMMUNICATIONS SYSTEMS HOLDING, INC.",ALASKA,1986.0125,DSL,18,2,Inf,89.99,0,0,89.99,0,Yes,,,,
"CenturyLink, Inc.",ARIZONA,1042384.2,DSL,100,100,1000,65,0,0,65,0,Yes,,,,
DESERT INET LLC,ARIZONA,16746.3308,Fixed wireless,25,5,500,59.95,0,0,59.95,0,Yes,,,,
Cox Communications,ARIZONA,1529372.4,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,FTTH,500,500,Inf,154.99,0,0,154.99,30,Yes,,,,
Cox Communications,ARIZONA,1529372.4,Cable,50,3,1280,66.99,0,0,66.99,0,Yes,,,,
Cox Communications,ARIZONA,1529372.4,Cable,150,10,1280,87.99,0,0,87.99,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,500,10,1280,99.99,0,0,99.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,FTTH,940,940,Inf,274.995,0,0,274.995,150.01,Yes,,,,
Bluespan Wireless,ARIZONA,5582.110268,Cable,30,2,Inf,119.99,0,0,119.99,40,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,Cable,5,1,Inf,79.99,0,0,79.99,40,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,500,10,1280,99.99,0,0,99.99,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,50,3,1280,66.99,0,0,66.99,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,150,10,1280,87.99,0,0,87.99,0,Yes,,,,
Cox Communications,ARIZONA,1529372.4,Cable,500,10,1280,99.99,0,0,99.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,5582.110268,FTTH,250,250,Inf,119.99,0,0,119.99,40,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,50,3,1280,66.99,0,0,66.99,0,Yes,,,,
"Cable One, Inc.",ARIZONA,148903.8539,Cable,300,30,900,80,0,0,80,0,Yes,,,,
"Cable One, Inc.",ARIZONA,148903.8539,Cable,15,1,100,30,0,0,30,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,10,1,1280,44.99,0,0,44.99,0,Yes,,,,
"Cable One, Inc.",ARIZONA,148903.8539,Cable,200,20,600,65,0,0,65,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,5582.110268,Cable,50,2,Inf,119.99,0,0,119.99,40,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,Cable,25,2,Inf,84.99,0,0,84.99,30,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,150,10,1280,87.99,0,0,87.99,0,Yes,,,,
Mediacom Arizona LLC,ARIZONA,148903.8539,Cable,500,30,4000,119.99,15,0,134.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,Fixed wireless,5,2,Inf,45.99,0,0,45.99,28,Yes,,,,
Mediacom Arizona LLC,ARIZONA,148903.8539,Cable,60,5,60,29.99,15,0,44.99,0,Yes,,,,
DESERT INET LLC,ARIZONA,16746.3308,Fixed wireless,40,10,1000,79.95,0,0,79.95,0,Yes,,,,
Mediacom Arizona LLC,ARIZONA,148903.8539,Cable,60,5,200,49.99,15,0,64.99,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,50,3,1280,66.99,0,0,66.99,0,Yes,,,,
"Cable One, Inc.",ARIZONA,148903.8539,Cable,100,10,300,55,0,0,55,0,Yes,,,,
"WireFree Communications, Inc.",ARIZONA,16746.3308,Fixed wireless,8,8,Inf,54.95,0,0,54.95,0,Yes,,,,
Mediacom Arizona LLC,ARIZONA,148903.8539,Cable,200,20,2000,99.99,15,0,114.99,0,Yes,,,,
"Cable One, Inc.",ARIZONA,148903.8539,Cable,1000,50,1200,125,0,0,125,0,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,Fixed wireless,20,2,Inf,84.49,0,0,84.49,71,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,10,1,1280,44.99,0,0,44.99,0,Yes,,,,
Mediacom Arizona LLC,ARIZONA,148903.8539,Cable,60,5,400,69.99,15,0,84.99,0,Yes,,,,
Mediacom Arizona LLC,ARIZONA,148903.8539,Cable,100,10,1000,79.99,15,0,94.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,4186.582701,Cable,15,2,Inf,89.99,0,0,89.99,20,Yes,,,,
Bluespan Wireless,ARIZONA,8373.165402,Fixed wireless,15,2,Inf,71.99,0,0,71.99,56,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,500,10,1280,99.99,0,0,99.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,Cable,100,2,Inf,169.99,0,0,169.99,60,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,150,10,1280,87.99,0,0,87.99,0,Yes,,,,
DESERT INET LLC,ARIZONA,16746.3308,Fixed wireless,60,10,1000,94.95,0,0,94.95,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
"WireFree Communications, Inc.",ARIZONA,16746.3308,Fixed wireless,6,6,Inf,49.95,0,0,49.95,0,Yes,,,,
"WireFree Communications, Inc.",ARIZONA,16746.3308,Fixed wireless,12,12,Inf,69.95,0,0,69.95,0,Yes,,,,
Cox Communications,ARIZONA,1529372.4,Cable,10,1,1280,44.99,0,0,44.99,0,Yes,,,,
Bluespan Wireless,ARIZONA,16746.3308,Fixed wireless,10,2,Inf,69.49,0,0,69.49,61,Yes,,,,
Bluespan Wireless,ARIZONA,8373.165402,FTTH,100,100,Inf,89.99,0,0,89.99,20,Yes,,,,
Mediacom Arizona LLC,ARIZONA,148903.8539,Cable,1000,50,6000,139.99,15,0,154.99,0,Yes,,,,
Cox Communications,ARIZONA,9106,Cable,10,1,1280,44.99,0,0,44.99,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,68276.04375,DSL,5,1,1000,69.99,0,0,69.99,0,Yes,,,,
Suddenlink Communications,ARKANSAS,148903.8539,Cable,400,40,Inf,119.99,0,3.5,123.49,0,Yes,,,,
Suddenlink Communications,ARKANSAS,148903.8539,Cable,30,3,Inf,14.99,0,0,14.99,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,136552.0875,DSL,100,20,1000,69.99,0,0,69.99,0,Yes,,,,
Suddenlink Communications,ARKANSAS,148903.8539,Cable,940,50,Inf,139.99,0,3.5,143.49,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,68276.04375,DSL,5,1,1000,69.99,0,0,69.99,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,136552.0875,DSL,25,5,1000,69.99,0,0,69.99,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,136552.0875,DSL,75,20,1000,69.99,0,0,69.99,0,Yes,,,,
Suddenlink Communications,ARKANSAS,148903.8539,Cable,100,7.5,250,89.99,0,3.5,93.49,0,Yes,,,,
"WEHCO Video, Inc.",ARKANSAS,83097.29914,Cable,25,3,500,59.95,0,0,59.95,0,Yes,,,,
OzarksGo,ARKANSAS,148903.8539,FTTH,1000,1000,Inf,79.95,0,0,79.95,0,Yes,,,,
Suddenlink Communications,ARKANSAS,148903.8539,Cable,200,20,350,99.99,0,3.5,103.49,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,1092416.7,DSL,6,0.512,150,61,0,0,61,0,Yes,,,,
"WEHCO Video, Inc.",ARKANSAS,83097.29914,Cable,150,10,2000,119.95,0,0,119.95,0,Yes,,,,
"WEHCO Video, Inc.",ARKANSAS,83097.29914,Cable,75,10,Inf,599.95,0,0,599.95,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,136552.0875,DSL,10,1,1000,69.99,0,0,69.99,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,136552.0875,DSL,18,0.768,1000,69.99,0,0,69.99,0,Yes,,,,
"WEHCO Video, Inc.",ARKANSAS,83097.29914,Cable,50,5,750,79.95,0,0,79.95,0,Yes,,,,
Suddenlink Communications,ARKANSAS,148903.8539,Cable,20,2,150,59.99,0,3.5,63.49,0,Yes,,,,
"WEHCO Video, Inc.",ARKANSAS,83097.29914,Cable,100,5,1000,99.95,0,0,99.95,0,Yes,,,,
"WEHCO Video, Inc.",ARKANSAS,83097.29914,Cable,25,10,Inf,349.95,0,0,349.95,0,Yes,,,,
"SOUTHWESTERN BELL TELEPHONE COMPANY, L.P.",ARKANSAS,136552.0875,DSL,50,10,1000,69.99,0,0,69.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,12,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Cox Communications,CALIFORNIA,9106,Cable,150,10,1280,83.99,0,0,83.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,144461.3835,DSL,6,0.5,Inf,27.99,0,0,27.99,0,Yes,,,,
Cox Communications,CALIFORNIA,1529372.4,Cable,150,10,1280,83.99,0,0,83.99,0,Yes,,,,
"Webpass, Inc.",CALIFORNIA,16997.61572,Fixed wireless,100,100,Inf,55,0,0,55,10,Yes,,,,
"Webpass, Inc.",CALIFORNIA,16997.61572,Fixed wireless,1000,1000,Inf,65,0,0,65,10,Yes,,,,
Cox Communications,CALIFORNIA,9106,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,115,7,Inf,44.99,0,0,44.99,0,Yes,,,,
"Webpass, Inc.",CALIFORNIA,16997.61572,Fixed wireless,1000,1000,Inf,65,0,0,65,10,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,18,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,25,2,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,25,2,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,115,7,Inf,44.99,0,0,44.99,0,Yes,,,,
Cox Communications,CALIFORNIA,1529372.4,Cable,500,10,1280,99.99,0,0,99.99,0,Yes,,,,
Cox Communications,CALIFORNIA,9106,Cable,10,1,1280,44.99,0,0,44.99,0,Yes,,,,
"Webpass, Inc.",CALIFORNIA,8498.807862,Fixed wireless,200,200,Inf,55,0,0,55,10,Yes,,,,
Cox Communications,CALIFORNIA,1529372.4,Cable,50,3,1280,65.99,0,0,65.99,0,Yes,,,,
AT&T California,CALIFORNIA,68276.04375,DSL,5,1,1000,69.99,0,0,69.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,12,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Cox Communications,CALIFORNIA,9106,Cable,10,1,1280,44.99,0,0,44.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,45,3,Inf,44.99,0,0,44.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,25,2,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,12,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Frontier Communications Corporation,CALIFORNIA,72230.69174,DSL,18,1,Inf,34.99,0,0,34.99,0,Yes,,,,
Cox Communications,CALIFORNIA,1529372.4,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
"Zito Media, L.P.",CALIFORNIA,340898.5833,Cable,200,15,Inf,86.29,0,0,86.29,0,Yes,,,,
"Zito Media, L.P.",CALIFORNIA,340898.5833,Cable,50,5,500,60.35,0,0,60.35,0,Yes,,,,
"Webpass, Inc.",CALIFORNIA,8373.165402,Fixed wireless,200,200,Inf,55,0,0,55,10,Yes,,,,
Cox Communications,CALIFORNIA,9106,Cable,1000,35,1280,119.99,0,0,119.99,0,Yes,,,,
"Webpass, Inc.",CALIFORNIA,8498.807862,Fixed wireless,500,500,Inf,55,0,0,55,10,Yes,,,,
